City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Flinders,-34.5833,150.8552,64.18,52,23,11.01,AU,2022-12-14 21:49:00
1,Ostrovnoy,68.0531,39.5131,22.66,94,100,15.84,RU,2022-12-14 21:44:40
2,Maumere,-8.6199,122.2111,80.8,77,100,3.33,ID,2022-12-14 21:48:22
3,Airai,-8.9266,125.4092,62.01,84,68,1.39,TL,2022-12-14 21:49:01
4,Rawah,34.4816,41.9093,58.96,62,100,7.78,IQ,2022-12-14 21:49:01
5,Kodiak,57.79,-152.4072,35.11,93,100,3.44,US,2022-12-14 21:42:15
6,Karratha,-20.7377,116.8463,80.26,37,4,11.54,AU,2022-12-14 21:49:02
7,Halifax,44.6453,-63.5724,32.0,67,75,6.91,CA,2022-12-14 21:48:21
8,Khandyga,62.6667,135.6,-62.03,100,75,0.92,RU,2022-12-14 21:49:03
9,Punto Fijo,11.6956,-70.1996,80.1,78,92,24.81,VE,2022-12-14 21:49:04
10,Rikitea,-23.1203,-134.9692,74.07,68,87,8.1,PF,2022-12-14 21:40:54
11,Tuktoyaktuk,69.4541,-133.0374,-5.8,77,20,9.22,CA,2022-12-14 21:42:00
12,Namibe,-15.1961,12.1522,68.23,75,79,3.36,AO,2022-12-14 21:49:05
13,Meulaboh,4.1363,96.1285,74.57,94,100,6.51,ID,2022-12-14 21:49:05
14,Busselton,-33.65,115.3333,59.74,75,0,13.04,AU,2022-12-14 21:42:18
15,Cape Town,-33.9258,18.4232,69.89,87,20,16.11,ZA,2022-12-14 21:43:05
16,Morehead,37.2711,-87.1764,54.0,97,100,11.5,US,2022-12-14 21:49:07
17,Bengkulu,-3.8004,102.2655,74.61,81,100,4.63,ID,2022-12-14 21:44:48
18,Qaanaaq,77.484,-69.3632,8.55,86,100,7.99,GL,2022-12-14 21:47:12
19,Balkhash,46.844,74.9804,1.04,78,0,14.09,KZ,2022-12-14 21:49:07
20,Saint George,37.1041,-113.5841,47.43,47,0,1.99,US,2022-12-14 21:42:40
21,Albany,42.6001,-73.9662,29.05,65,2,4.47,US,2022-12-14 21:38:25
